,load_node_21,load_node_98,export_node_130,export_node_68,export_node_170,export_node_108,export_node_59,renew_node_24,renew_node_154,renew_node_155,renew_node_25,renew_node_202,renew_node_86,renew_node_99,prod_gen_5,prod_gen_7,prod_gen_9,prod_gen_25,prod_gen_31,prod_gen_41,time
90,300.3705,42.5874,-31.249173,-62.323126,-2094.905279,204.960171,-16.126303,465.97109900000004,1.227668,165.840666,16.107599,381.900992,122.632972,2.9565900000000003,630.0,0.0,2087.0,957.0,146.0,1400.0,2012-01-04 18:00:00
91,310.9671,42.6045,-36.225598,-62.862814,-2061.875343,167.331089,-19.309835,641.405325,0.71807,138.540114,26.857521000000002,451.54795,113.603951,2.792335,630.0,0.0,2087.0,957.0,146.0,1400.0,2012-01-04 19:00:00
92,313.7955,42.1378,-35.850511,-61.110966000000005,-2009.6019199999998,151.471352,-20.281622,538.257785,0.880215,90.322722,24.852712,307.414517,108.81991699999999,2.190067,630.0,124.22630900000001,2087.0,957.0,146.0,1400.0,2012-01-04 20:00:00
93,304.394,40.2036,-33.246889,-57.106159,-1902.98667,157.778735,-17.884831,329.738498,0.625416,101.867731,36.846998,180.11418700000002,107.33753999999999,1.4235440000000001,630.0,0.0,2087.0,957.0,146.0,1400.0,2012-01-04 21:00:00
94,293.0405,36.907,-31.766697999999998,-52.904838,-1761.224586,158.34146,-15.554146,346.420041,0.787561,85.704718,46.421687,228.509354,105.136436,2.080564,630.0,0.0,2087.0,957.0,146.0,1400.0,2012-01-04 22:00:00
95,276.3886,33.6646,-29.317203999999997,-49.048769,-1688.2650370000001,136.704407,-14.778647,417.038573,0.602252,74.838827,51.191748,388.634232,91.008938,5.5299190000000005,630.0,0.0,1580.658973,127.90849399999999,146.0,1400.0,2012-01-04 23:00:00
96,241.1329,30.4845,-25.642702,-45.120633000000005,-1562.071784,111.42256100000002,-14.989735999999999,452.90389000000005,0.9497049999999999,60.305696999999995,74.074218,302.575001,77.690009,15.658979,630.0,0.0,0.0,957.0,0.0,1400.0,2012-01-05 00:00:00
97,219.143,28.5222,-23.594089,-42.3054,-1499.564376,88.747076,-12.828031,442.89496399999996,1.783593,62.071404,64.879751,404.625679,74.725256,20.039113,630.0,0.0,0.0,957.0,0.0,1400.0,2012-01-05 01:00:00
98,203.487,27.6473,-22.650311,-40.10779,-1441.156018,41.088397,-13.691744,403.693338,1.204504,39.253032,51.364577000000004,386.95092200000005,65.965758,13.74267,630.0,0.0,0.0,957.0,0.0,1400.0,2012-01-05 02:00:00
99,197.5513,27.1637,-22.869404,-39.114339,-1423.019281,35.617188,-12.632516,353.370684,1.065523,41.290387,51.571971000000005,323.826791,57.700385,15.877985999999998,630.0,0.0,0.0,957.0,0.0,1400.0,2012-01-05 03:00:00
100,193.7668,27.679,-23.710779000000002,-40.695636,-1488.390744,39.281528,-12.524791,394.24046400000003,0.555925,47.674098,52.816334999999995,253.96942,53.545239,21.24365,630.0,0.0,0.0,957.0,0.0,1400.0,2012-01-05 04:00:00
101,192.6514,29.7891,-25.941092,-43.888681,-1612.32435,41.400196,-13.656835000000001,319.451547,0.48643400000000003,57.317577,60.524478,227.87811200000002,60.395615,15.330469,630.0,0.0,0.0,957.0,0.0,1400.0,2012-01-05 05:00:00
102,193.8465,33.7514,-24.73017,-50.226978,-1840.1645870000002,45.440738,-8.271417999999999,351.146478,0.39378,66.961055,62.771246,246.815352,75.758427,8.267503,630.0,0.0,1022.8796619999999,957.0,0.0,1400.0,2012-01-05 06:00:00
103,213.1674,37.3636,-10.409016000000001,-55.709281000000004,-2004.3703510000003,52.005714000000005,-1.780148,327.792318,0.555925,85.840541,53.403951,247.025766,81.41841099999999,8.322255,630.0,0.0,2087.0,957.0,0.0,1400.0,2012-01-05 07:00:00
104,240.6947,39.8484,18.388063,-55.694454,-2127.680884,62.06805500000001,-5.785889,319.64941699999997,7.7140759999999995,161.945097,82.990895,291.116277,107.93099099999999,16.515253,630.0,0.0,1076.763022,957.0,0.0,1400.0,2012-01-05 08:00:00
106,282.5633,40.6868,19.375337,-35.702088,-1893.107418,152.695292,-0.745119,506.355391,0.0,326.81851,110.527592,444.061475,160.005768,65.72421,248.23102799999998,0.0,0.0,957.0,146.0,0.0,2012-01-05 10:00:00
107,282.9219,39.94,7.238366,-28.782774,-1513.669813,-23.9416,3.90311,542.835182,0.0,420.970833,108.659764,420.627612,176.52468000000002,101.466204,0.0,216.0,0.0,0.0,0.0,0.0,2012-01-05 11:00:00
108,286.7064,39.5606,24.23815,-23.865954000000002,-2282.2058,-23.7087,-21.4635,513.3023870000001,0.0,472.645521,112.73503999999998,420.786061,175.84708,109.713802,0.0,216.0,0.0,0.0,0.0,0.0,2012-01-05 12:00:00
109,270.2537,37.7514,56.802298,-20.970967,-2178.1059,-22.6272,-20.4845,550.865743,0.0,441.28409800000003,120.72721200000001,430.14010700000006,174.53913400000002,102.01204,0.0,85.050947,0.0,0.0,0.0,0.0,2012-01-05 13:00:00
110,275.8309,36.3879,71.871808,-23.607346,-2098.1854,-21.797,-19.7329,532.8169740000001,0.0,402.566397,124.651545,379.318036,174.94771200000002,104.605122,0.0,0.0,0.0,0.0,0.0,0.0,2012-01-05 14:00:00
111,273.8391,36.076,73.339714,-27.679771999999996,-2080.1694,-21.6098,-19.5634,436.881362,0.0,333.80503799999997,113.10395600000001,376.916825,170.88044399999998,94.33293499999999,0.0,169.62886799999998,0.0,0.0,0.0,0.0,2012-01-05 15:00:00
112,269.1383,36.5993,73.463578,-44.626843,-1570.718249,-21.9307,-19.8539,209.353364,0.0,217.046179,98.27018299999999,311.622793,195.13466200000002,46.867434,0.0,216.0,0.0,0.0,108.117447,0.0,2012-01-05 16:00:00
113,269.935,38.3646,89.550241,-45.552669,-1667.693138,-22.9988,-20.8208,279.13781800000004,0.0,198.43833999999998,85.066099,398.52367999999996,201.53583400000002,34.65781,0.0,216.0,0.0,0.0,0.0,0.0,2012-01-05 17:00:00
